concept:name,concept:endpoint,id:id,lifecycle:transition,time:timestamp,case:concept:name,concept:instance,data_received
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,complete,2016-12-15 15:58:41+01:00,Instance 220,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,start,2016-12-15 15:58:42+01:00,Instance 220,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,complete,2016-12-15 15:58:45+01:00,Instance 220,,
"""arrival intermediate B""",,a15,unknown,2016-12-15 15:58:45+01:00,Instance 220,http://cpee.org/~demo/corr/corr.php,
"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,start,2016-12-15 15:58:45+01:00,Instance 220,,
"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,complete,2016-12-15 15:58:46+01:00,Instance 220,,
"""quick test intermediate B""",,a11,unknown,2016-12-15 15:58:46+01:00,Instance 220,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""Production""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a17,start,2016-12-15 15:58:50+01:00,Instance 220,,
"""Production""",,a17,unknown,2016-12-15 15:58:51+01:00,Instance 220,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""Production""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a17,complete,2016-12-15 15:58:51+01:00,Instance 220,,
"""final test""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a19,start,2016-12-15 15:58:51+01:00,Instance 220,,
"""final test""",,a19,unknown,2016-12-15 15:58:52+01:00,Instance 220,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""final test""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a19,complete,2016-12-15 15:58:52+01:00,Instance 220,,
"""prepare delivery""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a20,start,2016-12-15 15:58:52+01:00,Instance 220,,
"""delivery of product""",http://cpee.org/~demo/corr/mesg.php,a22,start,2016-12-15 15:58:54+01:00,Instance 220,,
"""prepare delivery""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a20,complete,2016-12-15 15:58:54+01:00,Instance 220,,
"""prepare delivery""",,a20,unknown,2016-12-15 15:58:54+01:00,Instance 220,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""delivery of product""",http://cpee.org/~demo/corr/mesg.php,a22,complete,2016-12-15 15:58:54+01:00,Instance 220,,
"""delivery of product""",,a22,unknown,2016-12-15 15:58:54+01:00,Instance 220,http://cpee.org/~demo/corr/mesg.php,
"""order intermediate B""",http://cpee.org/~demo/corr/corr.php,a4,start,2016-12-15 15:58:38+01:00,Instance 221,,
"""order intermediate B""",,a4,unknown,2016-12-15 15:58:41+01:00,Instance 221,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<order_intermediateB>\n    <id>m11_1</id>\n    <quantity>5901</quantity>\n    <delivery_deadline>2016-12-21</delivery_deadline>\n    <date>2016-12-17</date>\n    <address>Tunis</address>\n</order_intermediateB>\n'}}"
"""order intermediate B""",http://cpee.org/~demo/corr/corr.php,a4,complete,2016-12-15 15:58:41+01:00,Instance 221,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/mesg.php,a2,start,2016-12-15 15:58:45+01:00,Instance 221,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/mesg.php,a2,complete,2016-12-15 15:58:45+01:00,Instance 221,,
"""arrival intermediate B""",,a2,unknown,2016-12-15 15:58:45+01:00,Instance 221,http://cpee.org/~demo/corr/mesg.php,
"""order""",http://cpee.org/~demo/corr/mesg.php,a4,start,2016-12-15 15:58:40+01:00,Instance 225,,
"""order""",,a4,unknown,2016-12-15 15:58:40+01:00,Instance 225,http://cpee.org/~demo/corr/mesg.php,
"""order""",http://cpee.org/~demo/corr/mesg.php,a4,complete,2016-12-15 15:58:40+01:00,Instance 225,,
"""delivery of product""",http://cpee.org/~demo/corr/corr.php,a5,start,2016-12-15 15:58:54+01:00,Instance 225,,
"""delivery of product""",,a5,unknown,2016-12-15 15:58:57+01:00,Instance 225,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<product_delivery>\n    <id>m15_1</id>\n    <status>good</status>\n    <delivery_date>2017-01-10</delivery_date>\n    <address>Tunis</address>\n</product_delivery>\n'}}"
"""delivery of product""",http://cpee.org/~demo/corr/corr.php,a5,complete,2016-12-15 15:58:57+01:00,Instance 225,,
"""order""",http://cpee.org/~demo/corr/corr.php,a24,start,2016-12-15 15:58:42+01:00,Instance 226,,
"""order""",http://cpee.org/~demo/corr/corr.php,a24,complete,2016-12-15 15:58:42+01:00,Instance 226,,
"""process order""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a0,start,2016-12-15 15:58:42+01:00,Instance 226,,
"""order""",,a24,unknown,2016-12-15 15:58:42+01:00,Instance 226,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<order>\n    <id>m1_1</id>\n    <item1>\n        <type>clothes</type>\n        <quantity>4220</quantity>\n        <delivery_deadline>2017-01-10</delivery_deadline>\n    </item1>\n    <item2>\n        <type>food</type>\n        <quantity>1750</quantity>\n        <delivery_deadline>2017-01-10</delivery_deadline>\n    </item2>\n    <date>2016-12-15</date>\n    <address>Wien</address>\n</order>\n'}}"
"""process order""",,a0,unknown,2016-12-15 15:58:43+01:00,Instance 226,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""process order""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a0,complete,2016-12-15 15:58:43+01:00,Instance 226,,
"""calculate demand intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a10,start,2016-12-15 15:58:43+01:00,Instance 226,,
"""calculate demand intermediate B""",,a10,unknown,2016-12-15 15:58:45+01:00,Instance 226,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""calculate demand intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a10,complete,2016-12-15 15:58:45+01:00,Instance 226,,
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,start,2016-12-15 15:58:45+01:00,Instance 226,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,start,2016-12-15 15:58:45+01:00,Instance 226,,
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,complete,2016-12-15 15:58:45+01:00,Instance 226,,
"""order intermediate B""",,a14,unknown,2016-12-15 15:58:45+01:00,Instance 226,http://cpee.org/~demo/corr/mesg.php,
"""arrival intermediate B""",,a15,unknown,2016-12-15 15:58:48+01:00,Instance 226,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<arrival_B>\n    <id>m12_1</id>\n    <status>expired</status>\n    <defect_reason>\n    </defect_reason>\n    <date>2016-12-21</date>\n    <address_from>Tunis</address_from>\n    <address_to>Tunis</address_to>\n</arrival_B>\n'}}"
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,complete,2016-12-15 15:58:48+01:00,Instance 226,,
"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,start,2016-12-15 15:58:48+01:00,Instance 226,,
"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,complete,2016-12-15 15:58:49+01:00,Instance 226,,
"""quick test intermediate B""",,a11,unknown,2016-12-15 15:58:49+01:00,Instance 226,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""Production""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a17,start,2016-12-15 15:58:54+01:00,Instance 226,,
"""Production""",,a17,unknown,2016-12-15 15:58:55+01:00,Instance 226,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""Production""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a17,complete,2016-12-15 15:58:55+01:00,Instance 226,,
"""final test""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a19,start,2016-12-15 15:58:55+01:00,Instance 226,,
"""final test""",,a19,unknown,2016-12-15 15:58:56+01:00,Instance 226,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""final test""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a19,complete,2016-12-15 15:58:56+01:00,Instance 226,,
"""prepare delivery""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a20,start,2016-12-15 15:58:56+01:00,Instance 226,,
"""prepare delivery""",,a20,unknown,2016-12-15 15:58:57+01:00,Instance 226,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""prepare delivery""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a20,complete,2016-12-15 15:58:57+01:00,Instance 226,,
"""delivery of product""",http://cpee.org/~demo/corr/mesg.php,a22,start,2016-12-15 15:58:57+01:00,Instance 226,,
"""order intermediate B""",http://cpee.org/~demo/corr/corr.php,a4,start,2016-12-15 15:58:42+01:00,Instance 227,,
"""order intermediate B""",,a4,unknown,2016-12-15 15:58:45+01:00,Instance 227,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<order_intermediateB>\n    <id>m11_1</id>\n    <quantity>5901</quantity>\n    <delivery_deadline>2016-12-21</delivery_deadline>\n    <date>2016-12-17</date>\n    <address>Tunis</address>\n</order_intermediateB>\n'}}"
"""order intermediate B""",http://cpee.org/~demo/corr/corr.php,a4,complete,2016-12-15 15:58:45+01:00,Instance 227,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/mesg.php,a2,start,2016-12-15 15:58:48+01:00,Instance 227,,
"""order""",http://cpee.org/~demo/corr/mesg.php,a4,start,2016-12-15 15:58:44+01:00,Instance 231,,
"""delivery of product""",http://cpee.org/~demo/corr/corr.php,a5,start,2016-12-15 15:58:56+01:00,Instance 231,,
"""delivery of product""",,a5,unknown,2016-12-15 15:58:59+01:00,Instance 231,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<product_delivery>\n    <id>m15_1</id>\n    <status>good</status>\n    <delivery_date>2017-01-10</delivery_date>\n    <address>Tunis</address>\n</product_delivery>\n'}}"
"""delivery of product""",http://cpee.org/~demo/corr/corr.php,a5,complete,2016-12-15 15:58:59+01:00,Instance 231,,
"""order""",http://cpee.org/~demo/corr/corr.php,a24,start,2016-12-15 15:58:45+01:00,Instance 232,,
"""order""",,a24,unknown,2016-12-15 15:58:45+01:00,Instance 232,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<order>\n    <id>m1_1</id>\n    <item1>\n        <type>electronics</type>\n        <quantity>2924</quantity>\n        <delivery_deadline>2017-01-12</delivery_deadline>\n    </item1>\n    <item2>\n        <type>food</type>\n        <quantity>4501</quantity>\n        <delivery_deadline>2017-01-12</delivery_deadline>\n    </item2>\n    <date>2016-12-14</date>\n    <address>Wien</address>\n</order>\n'}}"
"""order""",http://cpee.org/~demo/corr/corr.php,a24,complete,2016-12-15 15:58:45+01:00,Instance 232,,
"""process order""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a0,start,2016-12-15 15:58:45+01:00,Instance 232,,
"""process order""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a0,complete,2016-12-15 15:58:46+01:00,Instance 232,,
"""process order""",,a0,unknown,2016-12-15 15:58:47+01:00,Instance 232,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""calculate demand intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a10,start,2016-12-15 15:58:47+01:00,Instance 232,,
"""calculate demand intermediate B""",,a10,unknown,2016-12-15 15:58:48+01:00,Instance 232,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""calculate demand intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a10,complete,2016-12-15 15:58:48+01:00,Instance 232,,
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,start,2016-12-15 15:58:48+01:00,Instance 232,,
"""order intermediate B""",,a14,unknown,2016-12-15 15:58:48+01:00,Instance 232,http://cpee.org/~demo/corr/mesg.php,
"""order intermediate B""",http://cpee.org/~demo/corr/mesg.php,a14,complete,2016-12-15 15:58:48+01:00,Instance 232,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,start,2016-12-15 15:58:48+01:00,Instance 232,,
"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,start,2016-12-15 15:58:50+01:00,Instance 232,,
"""arrival intermediate B""",,a15,unknown,2016-12-15 15:58:50+01:00,Instance 232,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<arrival_B>\n    <id>m12_1</id>\n    <status>expired</status>\n    <defect_reason>\n    </defect_reason>\n    <date>2016-12-21</date>\n    <address_from>Tunis</address_from>\n    <address_to>Tunis</address_to>\n</arrival_B>\n'}}"
"""arrival intermediate B""",http://cpee.org/~demo/corr/corr.php,a15,complete,2016-12-15 15:58:50+01:00,Instance 232,,
"""quick test intermediate B""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a11,complete,2016-12-15 15:58:51+01:00,Instance 232,,
"""quick test intermediate B""",,a11,unknown,2016-12-15 15:58:51+01:00,Instance 232,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""Production""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a17,start,2016-12-15 15:58:56+01:00,Instance 232,,
"""Production""",,a17,unknown,2016-12-15 15:58:57+01:00,Instance 232,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""Production""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a17,complete,2016-12-15 15:58:57+01:00,Instance 232,,
"""final test""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a19,start,2016-12-15 15:58:57+01:00,Instance 232,,
"""final test""",,a19,unknown,2016-12-15 15:58:58+01:00,Instance 232,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""final test""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a19,complete,2016-12-15 15:58:58+01:00,Instance 232,,
"""prepare delivery""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a20,start,2016-12-15 15:58:58+01:00,Instance 232,,
"""prepare delivery""",,a20,unknown,2016-12-15 15:58:59+01:00,Instance 232,http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,"{'value': None, 'children': {'result': 'Timeout: 1'}}"
"""prepare delivery""",http://gruppe.wst.univie.ac.at/~mangler/services/timeout.php,a20,complete,2016-12-15 15:58:59+01:00,Instance 232,,
"""delivery of product""",http://cpee.org/~demo/corr/mesg.php,a22,start,2016-12-15 15:58:59+01:00,Instance 232,,
"""delivery of product""",http://cpee.org/~demo/corr/mesg.php,a22,complete,2016-12-15 15:58:59+01:00,Instance 232,,
"""delivery of product""",,a22,unknown,2016-12-15 15:58:59+01:00,Instance 232,http://cpee.org/~demo/corr/mesg.php,
"""order intermediate B""",http://cpee.org/~demo/corr/corr.php,a4,start,2016-12-15 15:58:46+01:00,Instance 233,,
"""order intermediate B""",,a4,unknown,2016-12-15 15:58:48+01:00,Instance 233,http://cpee.org/~demo/corr/corr.php,"{'value': None, 'children': {'result': '<?xml version=""1.0""?>\n<order_intermediateB>\n    <id>m11_1</id>\n    <quantity>5901</quantity>\n    <delivery_deadline>2016-12-21</delivery_deadline>\n    <date>2016-12-17</date>\n    <address>Tunis</address>\n</order_intermediateB>\n'}}"
"""order intermediate B""",http://cpee.org/~demo/corr/corr.php,a4,complete,2016-12-15 15:58:48+01:00,Instance 233,,
"""arrival intermediate B""",http://cpee.org/~demo/corr/mesg.php,a2,start,2016-12-15 15:58:50+01:00,Instance 233,,
"""arrival intermediate B""",,a2,unknown,2016-12-15 15:58:50+01:00,Instance 233,http://cpee.org/~demo/corr/mesg.php,
"""arrival intermediate B""",http://cpee.org/~demo/corr/mesg.php,a2,complete,2016-12-15 15:58:50+01:00,Instance 233,,
